类别,场景/事件,建议数量,内容描述,构图/角度,色调风格,搜索关键词（中英文）
主界面,游戏主界面背景,1,烈日下的校园操场，可见跑道、草坪、主席台，远处有学生队列,广角全景略俯视,明亮暖黄高对比,军训操场 全景 烈日 / military training field sunny
主界面,开幕式背景,1,主席台上领导讲话，台下学生方阵整齐站立,平视或略仰突出主席台,正式庄重,军训开营仪式 主席台 / opening ceremony military training
主界面,训练日通用背景,1-2,操场跑道、沙坑、单杠等训练设施,中景可带学生队列,明亮阳光强烈,学校操场 跑道 训练 / school playground track
队列训练,站军姿,1,学生排成整齐队列，汗水从额头滑落，表情严肃,侧面特写或中景突出汗水,烈日强光暖色,站军姿 流汗 / standing at attention sweating
队列训练,稍息与跨立,1,学生做稍息动作，教官在旁纠正,中景带教官,明亮,稍息 军训 / stand at ease military
队列训练,停止间转法,1,学生向左/右转，有人转错方向,中景抓拍瞬间,明亮,停止间转法 / military turn drill
队列训练,蹲下与起立,1,学生集体蹲下或起立，腿部特写,低角度强调腿部,暖色,蹲下起立 训练 / squat training
队列训练,敬礼与礼毕,1,学生敬礼，手部特写或半身,特写手举至帽檐,正式,敬礼 军训 / military salute
队列训练,原地踏步,1,学生原地踏步，脚部特写,低角度聚焦脚部,明亮,原地踏步 / marching in place
队列训练,齐步走,1,队伍齐步走，侧面视角，摆臂整齐,侧面中景,明亮,齐步走 队列 / marching drill
队列训练,正步走,1,学生正步踢腿，脚尖绷直,侧面特写定格踢腿,强光,正步走 踢腿 / goose step
队列训练,齐步换正步,1,队伍步伐转换瞬间，有人动作不一致,中景抓拍,明亮,队列 步伐转换 / drill transition
队列训练,跑步走,1,学生跑步，队伍紧凑，有人气喘吁吁,侧面中景,暖色,跑步走 训练 / running drill
队列训练,摆臂训练,1,手臂摆动特写，高度一致,特写聚焦手臂,明亮,摆臂 训练 / arm swing training
队列训练,正步分解动作,1,学生单腿站立，另一腿踢出保持,侧面特写,强光,正步分解 单腿站立 / one-leg drill
队列训练,喊口号,1,学生张大嘴呐喊，脖子青筋,正面特写,明亮,喊口号 呐喊 / shouting slogan
队列训练,报数,1,排头学生转头报数，嘴巴张开,特写,明亮,报数 军训 / counting off
队列训练,整理着装,1,学生整理腰带、帽子,特写手部动作,明亮,整理着装 腰带 / adjusting uniform
方阵专项-持枪,持枪基础训练,1,学生肩枪，表情吃力，枪身反光,中景突出枪,硬朗冷色,持枪训练 / rifle drill
方阵专项-持枪,持枪行进,1,队伍持枪齐步，枪线整齐,侧面中景,明亮,持枪方阵 行进 / rifle squad marching
方阵专项-持枪,枪口吊水壶加练,1,枪口挂水壶，学生咬牙坚持,特写手臂颤抖,强光,枪口吊水壶 / rifle weight training
方阵专项-防暴棍,防暴棍基础训练,1,学生挥棍，动作有力,侧面抓拍,动态感,防暴棍 训练 / riot stick training
方阵专项-防暴棍,防暴队形演练,1,队形变换，学生跑位,俯拍或广角,明亮,防暴队形 / riot formation
方阵专项-防暴棍,对抗演练,1,两人持棍对峙，动作紧张,中景对峙,冷色,对抗演练 防暴 / riot drill combat
方阵专项-正常连队,综合复习,1,学生反复练习队列，表情疲惫,中景,暖色,队列训练 复习 / drill review
方阵专项-正常连队,紧急集合（夜间）,1,夜色中奔跑的学生，手电光,夜景动态模糊,冷色,夜间紧急集合 / night emergency assembly
生活休息,食堂抢饭,1,学生排队打饭，窗口拥挤,中景队伍,暖色生活化,食堂排队 打饭 / canteen queue
生活休息,内务检查（叠被子）,1,豆腐块被子特写，教官检查,俯拍或特写,明亮,豆腐块被子 / folded quilt
生活休息,洗衣服,1,水房搓洗衣服，泡沫,特写手部,生活化,洗衣服 军训 / washing clothes
生活休息,晒被子,1,阳台晾晒被子，阳光,中景,温暖,晒被子 阳台 / drying quilt
生活休息,打热水,1,水房排队打水，热水瓶,中景,生活化,打热水 排队 / hot water queue
生活休息,涂防晒霜,1,学生涂防晒霜，脸部特写,特写,明亮,涂防晒霜 / applying sunscreen
生活休息,水壶没水,1,空水壶特写，或学生摇晃水壶,特写,明亮,空水壶 / empty water bottle
生活休息,卧谈会,1,夜晚宿舍，学生躺在床上聊天,夜景暖光,温馨,宿舍卧谈 / dormitory night talk
生活休息,给家里打电话,1,被窝里看手机，屏幕亮光,夜景特写,冷色,被窝打电话 / phone in bed
